x_idx,y_idx,Fertility Capability Classification,Soil Nitrogen,Soil Phosphorous,Soil Potassium,Soil pH,fcc_description,fcc_al_toxicity,fcc_calcareous,fcc_gravelly,fcc_high_erosion_risk_-_shallow_depth,fcc_high_erosion_risk_-_steep_slope,fcc_high_erosion_risk_-_textual_contrast,fcc_high_leaching_potential,fcc_low_k,fcc_no_constraints,fcc_no_data,fcc_shallow,fcc_slope,fcc_sulfidic,country
0,0,0,243.69193,6.389056,120.510414,7.3,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,1,256,220.40642,6.389056,120.510414,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,2,0,180.27225,7.16617,120.510414,7.0,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,3,0,364.03748,7.16617,120.510414,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,4,0,364.03748,7.16617,120.510414,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,5,0,199.3368,7.16617,120.510414,7.3,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,6,256,364.03748,7.16617,108.947174,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,7,256,364.03748,7.16617,108.947174,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,8,0,199.3368,7.16617,133.28978,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,9,0,329.29956,7.16617,108.947174,7.0,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,10,0,329.29956,6.389056,120.510414,6.9,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,11,0,243.69193,6.389056,98.484314,7.0,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,12,2,199.3368,6.389056,98.484314,7.0,Gravelly,0,0,1,0,0,0,0,0,0,0,0,0,0,Namibia
0,13,0,220.40642,6.389056,108.947174,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,14,0,297.8674,5.6858945,120.510414,7.3,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,15,0,297.8674,5.0496473,108.947174,7.2,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,16,0,199.3368,5.0496473,108.947174,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,17,256,329.29956,5.6858945,108.947174,7.3,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,18,256,147.41316,6.389056,120.510414,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,19,256,199.3368,6.389056,108.947174,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,20,256,220.40642,5.6858945,108.947174,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,21,256,444.85776,5.6858945,120.510414,7.3,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,22,264,444.85776,8.025014,133.28978,7.4,"High erosion risk - textual contrast, Calcareous",0,1,0,0,0,1,0,0,0,0,0,0,0,Namibia
0,23,256,329.29956,8.025014,133.28978,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,24,256,329.29956,7.16617,120.510414,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,25,0,364.03748,6.389056,108.947174,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,26,0,220.40642,6.389056,108.947174,6.9,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,27,0,220.40642,8.025014,120.510414,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,28,0,220.40642,8.025014,120.510414,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,29,0,269.42642,5.6858945,133.28978,7.3,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,30,0,180.27225,5.6858945,108.947174,7.3,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,31,0,243.69193,5.6858945,120.510414,7.3,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,32,0,220.40642,5.6858945,108.947174,7.2,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,33,0,329.29956,6.389056,120.510414,7.2,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,34,0,297.8674,6.389056,133.28978,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,35,0,269.42642,6.389056,120.510414,7.2,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,36,0,199.3368,6.389056,133.28978,7.0,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,37,0,220.40642,6.389056,147.41316,7.0,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,38,0,269.42642,7.16617,133.28978,6.9,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,39,0,220.40642,8.025014,133.28978,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,40,0,199.3368,7.16617,108.947174,7.0,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,41,0,243.69193,6.389056,120.510414,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,42,0,491.74905,7.16617,108.947174,7.2,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,43,0,243.69193,7.16617,120.510414,6.8,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,44,0,329.29956,6.389056,108.947174,6.9,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,45,0,180.27225,8.025014,147.41316,7.0,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,46,0,402.4288,6.389056,133.28978,7.1,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,47,0,444.85776,7.16617,133.28978,7.3,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,48,256,269.42642,8.025014,147.41316,7.3,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,49,256,269.42642,8.025014,147.41316,7.3,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,50,0,364.03748,8.025014,147.41316,7.0,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,51,0,444.85776,8.025014,133.28978,6.8,No constraints,0,0,0,0,0,0,0,0,1,0,0,0,0,Namibia
0,52,256,133.28978,7.16617,133.28978,7.3,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,53,256,243.69193,7.16617,147.41316,7.6,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,54,258,297.8674,5.6858945,147.41316,7.3,"Gravelly, Calcareous",0,1,1,0,0,0,0,0,0,0,0,0,0,Namibia
0,55,258,133.28978,5.6858945,133.28978,7.4,"Gravelly, Calcareous",0,1,1,0,0,0,0,0,0,0,0,0,0,Namibia
0,56,256,163.02191,5.6858945,120.510414,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,57,256,133.28978,6.389056,108.947174,7.3,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,58,258,220.40642,5.6858945,120.510414,7.4,"Gravelly, Calcareous",0,1,1,0,0,0,0,0,0,0,0,0,0,Namibia
0,59,256,163.02191,5.0496473,108.947174,7.3,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,60,256,163.02191,5.0496473,108.947174,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,61,258,220.40642,6.389056,108.947174,7.6,"Gravelly, Calcareous",0,1,1,0,0,0,0,0,0,0,0,0,0,Namibia
0,62,256,243.69193,5.0496473,120.510414,7.6,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,63,256,297.8674,7.16617,108.947174,7.6,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,64,264,491.74905,6.389056,120.510414,7.3,"High erosion risk - textual contrast, Calcareous",0,1,0,0,0,1,0,0,0,0,0,0,0,Namibia
0,65,256,163.02191,8.974182,108.947174,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,66,258,243.69193,7.16617,120.510414,7.8,"Gravelly, Calcareous",0,1,1,0,0,0,0,0,0,0,0,0,0,Namibia
0,67,256,329.29956,7.16617,120.510414,7.4,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,68,256,180.27225,8.025014,120.510414,7.3,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,69,256,243.69193,7.16617,108.947174,7.5,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,70,256,243.69193,7.16617,108.947174,7.5,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,71,258,220.40642,7.16617,120.510414,7.6,"Gravelly, Calcareous",0,1,1,0,0,0,0,0,0,0,0,0,0,Namibia
0,72,256,180.27225,8.974182,120.510414,7.5,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,73,256,329.29956,7.16617,120.510414,7.7,Calcareous,0,1,0,0,0,0,0,0,0,0,0,0,0,Namibia
0,74,258,329.29956,7.16617,108.947174,7.5,"Gravelly, Calcareous",0,1,1,0,0,0,0,0,0,0,0,0,0,Namibia
0,75,266,364.03748,7.16617,120.510414,7.6,"Gravelly, High erosion risk - textual contrast, Calcareous",0,1,1,0,0,1,0,0,0,0,0,0,0,Namibia
0,76,258,243.69193,6.389056,120.510414,7.7,"Gravelly, Calcareous",0,1,1,0,0,0,0,0,0,0,0,0,0,Namibia
